1971 - List of State Data

For explanatory notes see the Methods page on our website: www.usreligioncensus.org

State,Population,PopRank,Adherents,AdhRank,Congregations,ConRank,Adherents %,Adh% Rank,Congregations Per 10K People,Con Per 10K Rank
Alabama,3444165,21,1612879,24,5871,11,46.8,29,17,7
Alaska,300382,51,104507,51,324,48,34.8,44,11,24
Arizona,1770900,33,731842,34,1156,38,41.3,39,7,40
Arkansas,1923295,32,848946,33,3301,24,44.1,34,17,6
California,19953134,1,6303050,3,7413,7,31.6,47,4,50
Colorado,2207259,30,877437,32,1660,33,39.8,41,8,34
Connecticut,3031709,24,1793677,20,1422,36,59.2,12,5,44
Delaware,548104,47,234987,46,395,45,42.9,36,7,36
District of Columbia,756510,41,240279,45,292,49,31.8,46,4,49
Florida,6789443,9,2766125,11,4833,16,40.7,40,7,37
Georgia,4589575,15,2088202,17,6095,10,45.5,30,13,18
Hawaii,768561,40,266105,44,352,47,34.6,45,5,45
Idaho,712567,43,187889,48,618,43,26.4,51,9,30
Illinois,11113976,5,6103112,5,8241,5,54.9,15,7,35
Indiana,5193669,11,2300995,15,5727,14,44.3,33,11,22
Iowa,2824376,25,1753659,21,4032,21,62.1,8,14,16
Kansas,2246578,28,1174215,27,3300,25,52.3,18,15,13
Kentucky,3218706,23,1711619,22,5741,13,53.2,17,18,5
Louisiana,3641306,20,2169786,16,3115,26,59.6,11,9,31
Maine,992048,38,439681,41,1195,37,44.3,32,12,20
Maryland,3922399,18,1664143,23,2654,28,42.4,38,7,39
Massachusetts,5689170,10,3588134,9,2584,29,63.1,7,5,46
Michigan,8875083,7,4035299,7,5609,15,45.5,31,6,41
Minnesota,3804971,19,2515507,13,4036,20,66.1,6,11,25
Mississippi,2216912,29,1119360,28,4321,17,50.5,22,19,4
Missouri,4676501,13,2343272,14,6250,9,50.1,23,13,17
Montana,694409,44,300891,43,995,40,43.3,35,14,15
Nebraska,1483493,35,890311,30,2211,31,60.0,10,15,12
Nevada,488738,48,137292,49,231,50,28.1,50,5,43
New Hampshire,737681,42,368524,42,646,41,50.0,24,9,29
New Jersey,7168164,8,3647537,8,3078,27,50.9,21,4,47
New Mexico,1016000,37,620467,38,1131,39,61.1,9,11,21
New York,18236967,2,8545064,1,7746,6,46.9,28,4,48
North Carolina,5082059,12,2521056,12,8658,3,49.6,25,17,8
North Dakota,617761,46,470355,39,1538,34,76.1,2,25,1
Ohio,10652017,6,5008965,6,8637,4,47.0,27,8,33
Oklahoma,2559229,27,1375566,25,3827,22,53.7,16,15,11
Oregon,2091385,31,631493,37,1707,32,30.2,49,8,32
Pennsylvania,11793909,3,6966689,2,10842,2,59.1,13,9,28
Rhode Island,946725,39,710104,35,454,44,75.0,3,5,42
South Carolina,2590516,26,1330703,26,4176,18,51.4,20,16,10
South Dakota,665507,45,456200,40,1455,35,68.5,4,22,2
Tennessee,3923687,17,1927858,19,6386,8,49.1,26,16,9
Texas,11196730,4,6246551,4,11144,1,55.8,14,10,26
Utah,1059273,36,885332,31,223,51,83.6,1,2,51
Vermont,444330,49,229649,47,637,42,51.7,19,14,14
Virginia,4648494,14,1978774,18,5800,12,42.6,37,12,19
Washington,3409169,22,1041383,29,2355,30,30.5,48,7,38
West Virginia,1744237,34,685489,36,3607,23,39.3,42,21,3
Wisconsin,4417731,16,2966046,10,4151,19,67.1,5,9,27
Wyoming,332416,50,129189,50,360,46,38.9,43,11,23
